"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3911","should be able to navigate back to the overview page","","Sat Sep 27 15:25:09 UTC 2025","passed","Sat Sep 27 15:25:13 UTC 2025","","Product Details Page","",""
"","5831","should be able to click onto item name and be navigated to the details page","","Sat Sep 27 15:24:52 UTC 2025","passed","Sat Sep 27 15:24:58 UTC 2025","","Product Details Page","",""
"","5798","should be able to click onto the product image and be navigated to the details page","","Sat Sep 27 15:24:58 UTC 2025","passed","Sat Sep 27 15:25:04 UTC 2025","","Product Details Page","",""
"","1582","should have a form displayed","","Sat Sep 27 15:24:32 UTC 2025","passed","Sat Sep 27 15:24:33 UTC 2025","","Checkout Page Functionality","",""
"","916","should be able to print all the product names on the overview page","","Sat Sep 27 15:25:16 UTC 2025","passed","Sat Sep 27 15:25:17 UTC 2025","","Add Products from Overview Page","",""
"","1482","should be able to add all items to the cart","","Sat Sep 27 15:25:17 UTC 2025","passed","Sat Sep 27 15:25:18 UTC 2025","","Add Products from Overview Page","",""
"","210","should proceed to the checkout page","","Sat Sep 27 15:24:19 UTC 2025","passed","Sat Sep 27 15:24:19 UTC 2025","","Cart Page","",""
"","1805","should be able to see the payment information","","Sat Sep 27 15:24:23 UTC 2025","passed","Sat Sep 27 15:24:25 UTC 2025","","Checkout Overview Page Functionality","",""
"","3933","should be able to add a product to the cart from the details page","","Sat Sep 27 15:25:05 UTC 2025","passed","Sat Sep 27 15:25:09 UTC 2025","","Product Details Page","",""
"","100","should navigate to the cart page","","Sat Sep 27 15:24:18 UTC 2025","passed","Sat Sep 27 15:24:18 UTC 2025","","Cart Page","",""
"","494","should login with valid credentials","","Sat Sep 27 15:24:40 UTC 2025","passed","Sat Sep 27 15:24:41 UTC 2025","","Login Page","",""
"","1859","should be able to enter details into the form fields and continue to the overview page","","Sat Sep 27 15:24:33 UTC 2025","passed","Sat Sep 27 15:24:35 UTC 2025","","Checkout Page Functionality","",""
"","1628","should be able to navigate back to the cart","","Sat Sep 27 15:24:37 UTC 2025","passed","Sat Sep 27 15:24:39 UTC 2025","","Checkout Page Functionality","",""
"","551","should remove an item from the cart","","Sat Sep 27 15:24:18 UTC 2025","passed","Sat Sep 27 15:24:19 UTC 2025","","Cart Page","",""
"","254","should not be able to login with a locked user","","Sat Sep 27 15:24:41 UTC 2025","passed","Sat Sep 27 15:24:41 UTC 2025","","Login Page","",""
"","781","should be able to see products on the overview page","","Sat Sep 27 15:25:15 UTC 2025","passed","Sat Sep 27 15:25:16 UTC 2025","","Add Products from Overview Page","",""
"","415","should display all items in the cart","","Sat Sep 27 15:24:18 UTC 2025","passed","Sat Sep 27 15:24:18 UTC 2025","","Cart Page","",""
"","1605","should have the page title displayed","","Sat Sep 27 15:24:30 UTC 2025","passed","Sat Sep 27 15:24:32 UTC 2025","","Checkout Page Functionality","",""
"","1967","should be able to see the page title","","Sat Sep 27 15:24:21 UTC 2025","passed","Sat Sep 27 15:24:23 UTC 2025","","Checkout Overview Page Functionality","",""
"","99","should have a page title 'Your Cart'","","Sat Sep 27 15:24:18 UTC 2025","passed","Sat Sep 27 15:24:18 UTC 2025","","Cart Page","",""
"","959","should be able to see the Logout link present","","Sat Sep 27 15:24:43 UTC 2025","passed","Sat Sep 27 15:24:44 UTC 2025","","Logout Functionality","",""
"","917","should be able to retrieve product details on the details page","","Sat Sep 27 15:25:04 UTC 2025","passed","Sat Sep 27 15:25:05 UTC 2025","","Product Details Page","",""
"","1889","should be able to proceed to the confirmation page","","Sat Sep 27 15:24:25 UTC 2025","passed","Sat Sep 27 15:24:27 UTC 2025","","Checkout Overview Page Functionality","",""
"","1959","should be able to navigate back to the homepage after purchasing","","Sat Sep 27 15:24:27 UTC 2025","passed","Sat Sep 27 15:24:29 UTC 2025","","Checkout Overview Page Functionality","",""
"","817","should be able to see the product title on the overview page","","Sat Sep 27 15:25:14 UTC 2025","passed","Sat Sep 27 15:25:15 UTC 2025","","Add Products from Overview Page","",""
"","899","should be able to remove an item from the cart","","Sat Sep 27 15:25:19 UTC 2025","passed","Sat Sep 27 15:25:20 UTC 2025","","Add Products from Overview Page","",""
"","260","should not be able to login with an empty username and password","","Sat Sep 27 15:24:41 UTC 2025","passed","Sat Sep 27 15:24:42 UTC 2025","","Login Page","",""
"","306","should not be able to login with invalid credentials","","Sat Sep 27 15:24:41 UTC 2025","passed","Sat Sep 27 15:24:41 UTC 2025","","Login Page","",""
"","214","should click the Continue Shopping button","","Sat Sep 27 15:24:19 UTC 2025","passed","Sat Sep 27 15:24:19 UTC 2025","","Cart Page","",""
"","1606","should be able to see error messages when form is not compeleted","","Sat Sep 27 15:24:35 UTC 2025","passed","Sat Sep 27 15:24:37 UTC 2025","","Checkout Page Functionality","",""
"","6385","should successfully log out the user","","Sat Sep 27 15:24:44 UTC 2025","passed","Sat Sep 27 15:24:50 UTC 2025","","Logout Functionality","",""
